,Entry Title,Link
1264,"feminist philosophy, approaches: Latin American feminism",entries/feminism-latin-america/
1265,liberalism: in Latin America,entries/liberalism-latin-america/
1266,metaphilosophical foundations,entries/latin-american-metaphilosophy/
1267,philosophy of biology: in Latin America,entries/phil-bio-latin-america/
1268,philosophy of science: in Latin America,entries/phil-science-latin-america/
1269,skepticism: in Latin America,entries/skepticism-latin-america/
1270,Latinx Philosophy,entries/latinx/
1271,and ideology,entries/law-ideology/
1272,and language,entries/law-language/
1273,limits of law,entries/law-limits/
1274,nature of law: natural law theories,entries/natural-law-theories/
1275,rule of law and procedural fairness,entries/rule-of-law/
1276,laws of nature,entries/laws-of-nature/
1277,ceteris paribus,entries/ceteris-paribus/
1278,"learning, perceptual",entries/perceptual-learning/
1279,"learning theory, formal",entries/learning-formal/
1280,"Lefèvre d’Étaples, Jacques",entries/lefevre-etaples/
1281,legal interpretation,entries/legal-interpretation/
1282,legal obligation and authority,entries/legal-obligation/
1283,economic analysis of law,entries/legal-econanalysis/
1284,nature of law: legal positivism,entries/legal-positivism/
1285,legal probabilism,entries/legal-probabilism/
1286,"punishment, legal",entries/legal-punishment/
1287,interpretation and coherence in,entries/legal-reas-interpret/
1288,precedent and analogy in,entries/legal-reas-prec/
1289,legal rights,entries/legal-rights/
1290,"legitimacy, political",entries/legitimacy/
1291,"Le Grand, Antoine",entries/legrand/
1292,"Leibniz, Gottfried Wilhelm",entries/leibniz/
1293,ethics,entries/leibniz-ethics/
1294,Exoteric Philosophy,entries/leibniz-exoteric/
1295,influence on 19th century logic,entries/leibniz-logic-influence/
1296,modal metaphysics,entries/leibniz-modal/
1297,on causation,entries/leibniz-causation/
1298,on the problem of evil,entries/leibniz-evil/
1299,philosophy of mind,entries/leibniz-mind/
1300,philosophy of physics,entries/leibniz-physics/
1301,"Leibowitz, Yeshayahu",entries/leibowitz-yeshayahu/
1302,"Abrabanel, Judah",entries/abrabanel/
1303,"Leśniewski, Stanisław",entries/lesniewski/
1304,Leucippus,entries/leucippus/
1305,levels of organization in biology,entries/levels-org-biology/
1306,"Levinas, Emmanuel",entries/levinas/
1307,"Lewis, Clarence Irving",entries/lewis-ci/
1308,"Lewis, David",entries/david-lewis/
1309,metaphysics,entries/lewis-metaphysics/
1310,liar paradox,entries/liar-paradox/
1311,"feminist philosophy, interventions: liberal feminism",entries/feminism-liberal/
1312,liberalism,entries/liberalism/
1313,in Latin America,entries/liberalism-latin-america/
1314,"liberation, philosophy of",entries/liberation/
1315,libertarianism,entries/libertarianism/
1316,positive and negative,entries/liberty-positive-negative/
1317,life,entries/life/
1318,meaning of,entries/life-meaning/
1319,"Husserl, Edmund",entries/husserl/
1320,limits of law,entries/law-limits/
1321,logic: linear,entries/logic-linear/
1322,computational,entries/computational-linguistics/
1323,philosophy of,entries/linguistics/
1324,"Lipsius, Justus",entries/justus-lipsius/
1325,advance directives,entries/advance-directives/
1326,"Llull, Ramon",entries/llull/
1327,location and mereology,entries/location-mereology/
1328,"Locke, Alain LeRoy",entries/alain-locke/
1329,"Locke, John",entries/locke/
1330,moral philosophy,entries/locke-moral/
1331,on freedom,entries/locke-freedom/
1332,on personal identity,entries/locke-personal-identity/
1333,on real essence,entries/real-essence/
1334,philosophy of science,entries/locke-philosophy-science/
1335,political philosophy,entries/locke-political/
1336,action,entries/logic-action/
1337,algebraic propositional,entries/logic-algebraic-propositional/
1338,ancient,entries/logic-ancient/
1339,of belief revision,entries/logic-belief-revision/
1340,classical,entries/logic-classical/
1341,combinatory,entries/logic-combinatory/
1342,combining,entries/logic-combining/
1343,conditionals,entries/logic-conditionals/
1344,connexive,entries/logic-connexive/
1345,deontic,entries/logic-deontic/
1346,dependence,entries/logic-dependence/
1347,dialogical,entries/logic-dialogical/
1348,dynamic epistemic,entries/dynamic-epistemic/
1349,epistemic,entries/logic-epistemic/
1350,for analyzing games,entries/logics-for-games/
1351,for analyzing power in normal form games,entries/logic-power-games/
1352,free,entries/logic-free/
1353,fuzzy,entries/logic-fuzzy/
1354,and games,entries/logic-games/
1355,hybrid,entries/logic-hybrid/
1356,Indian Philosophy (Classical): logic,entries/logic-india/
1357,independence friendly,entries/logic-if/
1358,inductive,entries/logic-inductive/
1359,infinitary,entries/logic-infinitary/
1360,informal,entries/logic-informal/
1361,and information,entries/logic-information/
1362,intensional,entries/logic-intensional/
1363,intuitionistic,entries/logic-intuitionistic/
1364,justification,entries/logic-justification/
1365,linear,entries/logic-linear/
1366,artificial intelligence: logic-based,entries/logic-ai/
1367,many-sorted,entries/logic-many-sorted/
1368,many-valued,entries/logic-manyvalued/
1369,mass expressions: logic of,entries/logic-massexpress/
1370,modal,entries/logic-modal/
1371,natural deduction systems in logic,entries/natural-deduction/
1372,non-monotonic,entries/logic-nonmonotonic/
1373,paraconsistent,entries/logic-paraconsistent/
1374,and probability,entries/logic-probability/
1375,propositional,entries/logic-propositional/
1376,propositional dynamic,entries/logic-dynamic/
1377,provability,entries/logic-provability/
1378,relevance,entries/logic-relevance/
1379,second-order and higher-order,entries/logic-higher-order/
1380,connectives: sentence connectives in formal logic,entries/connectives-logic/
1381,substructural,entries/logic-substructural/
1382,temporal,entries/logic-temporal/
1383,first-order logic,entries/logic-firstorder-emergence/
1384,intuitionistic logic,entries/intuitionistic-logic-development/
1385,modal logic,entries/logic-modal-origins/
1386,proof theory: development of,entries/proof-theory-development/
1387,set theory: early development,entries/settheory-early/
1388,"logic, normative status of",entries/logic-normative/
1389,Russell’s,entries/logical-atomism/
1390,"Wittgenstein, Ludwig: logical atomism",entries/wittgenstein-atomism/
1391,logical consequence,entries/logical-consequence/
1392,logic: algebraic propositional,entries/logic-algebraic-propositional/
1393,logical constants,entries/logical-constants/
1394,logical constructions,entries/logical-construction/
1395,empiricism: logical,entries/logical-empiricism/
1396,logical form,entries/logical-form/
1397,logical pluralism,entries/logical-pluralism/
1398,logical truth,entries/logical-truth/
1399,logic and ontology,entries/logic-ontology/
1400,logicism and neologicism,entries/logicism/
1401,"Lotze, Hermann",entries/hermann-lotze/
1402,love,entries/love/
1403,loyalty,entries/loyalty/
1404,justice and bad luck,entries/justice-bad-luck/
1405,moral,entries/moral-luck/
1406,Lucretius,entries/lucretius/
1407,"Lukács, Georg [György]",entries/lukacs/
1408,"Łukasiewicz, Jan",entries/lukasiewicz/
1409,"Luther, Martin",entries/luther/
1410,influence on philosophy,entries/luther-influence/
1411,"Luxemburg, Rosa",entries/luxemburg/
1412,Lvov-Warsaw School,entries/lvov-warsaw/
1413,definition of,entries/lying-definition/
1414,"Lyotard, Jean François",entries/lyotard/
1415,[jump to top],#pagetopright
1416,"Macaulay, Catharine",entries/catharine-macaulay/
1417,"Mach, Ernst",entries/ernst-mach/
1418,"Machiavelli, Niccolò",entries/machiavelli/
1419,"macroevolution, philosophy of",entries/macroevolution/
1420,Madhyamaka,entries/madhyamaka/
1421,"Maimon, Salomon",entries/maimon/
1422,Maimonides,entries/maimonides/
1423,the influence of Islamic thought on,entries/maimonides-islamic/
1424,"Malebranche, Nicolas",entries/malebranche/
1425,emotion: 17th and 18th century theories of,entries/emotions-17th18th/
1426,theory of ideas and vision in God,entries/malebranche-ideas/
1427,"Mally, Ernst",entries/mally/
1428,deontic logic,entries/mally-deontic/
1429,"Mandeville, Bernard",entries/mandeville/
1430,"manipulation, ethics of",entries/ethics-manipulation/
1431,"many, problem of",entries/problem-of-many/
1432,"Marcel, Gabriel (-Honoré)",entries/marcel/
1433,"Marcus, Ruth Barcan",entries/ruth-barcan-marcus/
1434,Marcus Aurelius,entries/marcus-aurelius/
1435,"Marcuse, Herbert",entries/marcuse/
1436,"Marinella, Lucrezia",entries/lucrezia-marinella/
1437,"Maritain, Jacques",entries/maritain/
1438,markets,entries/markets/
1439,marriage and domestic partnership,entries/marriage/
1440,Marsilius of Inghen,entries/marsilius-inghen/
1441,"Marty, Anton",entries/marty/
1442,"Marx, Karl",entries/marx/
1443,"Marxism, analytical",entries/marxism-analytical/
1444,"Masham, Lady Damaris",entries/lady-masham/
1445,equivalence of mass and energy,entries/equivME/
1446,logic of,entries/logic-massexpress/
1447,metaphysics of,entries/metaphysics-massexpress/
1448,material constitution,entries/material-constitution/
1449,physicalism,entries/physicalism/
1450,eliminative,entries/materialism-eliminative/
1451,explanation,entries/mathematics-explanation/
1452,style: in mathematics,entries/mathematical-style/
1453,constructive,entries/mathematics-constructive/
1454,inconsistent,entries/mathematics-inconsistent/
1455,non-deductive methods in,entries/mathematics-nondeductive/
1456,"Dedekind, Richard: contributions to the foundations of mathematics",entries/dedekind-foundations/
1457,"Hilbert, David: program in the foundations of mathematics",entries/hilbert-program/
1458,"mathematics, philosophy of",entries/philosophy-mathematics/
1459,fictionalism,entries/fictionalism-mathematics/
1460,formalism,entries/formalism-mathematics/
1461,indispensability arguments in the,entries/mathphil-indis/
1462,intuitionism,entries/intuitionism/
1463,"Kant, Immanuel: philosophy of mathematics",entries/kant-mathematics/
1464,naturalism,entries/naturalism-mathematics/
1465,nominalism,entries/nominalism-mathematics/
1466,Platonism,entries/platonism-mathematics/
1467,structuralism,entries/structuralism-mathematics/
1468,"Wittgenstein, Ludwig: philosophy of mathematics",entries/wittgenstein-mathematics/
1469,"McTaggart, John M. E.",entries/mctaggart/
1470,"Mead, George Herbert",entries/mead/
1471,normativity of,entries/meaning-normativity/
1472,of words,entries/word-meaning/
1473,"meaning, theories of",entries/meaning/
1474,meaning holism,entries/meaning-holism/
1475,treating persons as means,entries/persons-means/
1476,in science,entries/measurement-science/
1477,mechanism in science,entries/science-mechanisms/
1478,"medicine, philosophy of",entries/medicine/
1479,Chinese Philosophy: Chinese medicine,entries/chinese-phil-medicine/
1480,medieval philosophy,entries/medieval-philosophy/
1481,literary forms of,entries/medieval-literary/
1482,political philosophy: medieval,entries/medieval-political/
1483,analogy: medieval theories of,entries/analogy-medieval/
1484,categories: medieval theories of,entries/medieval-categories/
1485,causation: medieval theories of,entries/causation-medieval/
1486,conscience: medieval theories of,entries/conscience-medieval/
1487,"consequence, medieval theories of",entries/consequence-medieval/
1488,demonstration: medieval theories of,entries/demonstration-medieval/
1489,emotion: medieval theories of,entries/medieval-emotions/
1490,future contingents: medieval theories of,entries/medieval-futcont/
1491,haecceity: medieval theories of,entries/medieval-haecceity/
1492,mental representation: in medieval philosophy,entries/representation-medieval/
1493,modality: medieval theories of,entries/modality-medieval/
1494,"obligationes, medieval theories of",entries/obligationes/
1495,practical reason: medieval theories of,entries/practical-reason-med/
1496,"terms, properties of: medieval theories of",entries/medieval-terms/
1497,relations: medieval theories of,entries/relations-medieval/
1498,singular terms: medieval theories of,entries/singular-terms-medieval/
1499,syllogism: medieval theories of,entries/medieval-syllogism/
1500,"transcendentals, medieval theories of",entries/transcendentals-medieval/
1501,"Meinong, Alexius",entries/meinong/
1502,Meister Eckhart,entries/meister-eckhart/
1503,memory,entries/memory/
1504,epistemological problems of,entries/memory-episprob/
1505,Mencius,entries/mencius/
1506,"Mendelssohn, Moses",entries/mendelssohn/
1507,mental causation,entries/mental-causation/
1508,causal theories of,entries/content-causal/
1509,externalism about the mind,entries/content-externalism/
1510,narrow,entries/content-narrow/
1511,nonconceptual,entries/content-nonconceptual/
1512,teleological theories of,entries/content-teleological/
1513,mental disorder,entries/mental-disorder/
1514,mental disorder,entries/mental-disorder/
1515,mental imagery,entries/mental-imagery/
1516,mental representation,entries/mental-representation/
1517,in medieval philosophy,entries/representation-medieval/
1518,mereology,entries/mereology/
1519,location and mereology,entries/location-mereology/
1520,medieval,entries/mereology-medieval/
1521,meritocracy,entries/meritocracy/
1522,"Merleau-Ponty, Maurice",entries/merleau-ponty/
1523,"Mersenne, Marin",entries/mersenne/
1524,metaepistemology,entries/metaepistemology/
1525,metaethics,entries/metaethics/
1526,"metaethics, normativity in",entries/normativity-metaethics/
1527,metaphor,entries/metaphor/
1528,metaphysical explanation,entries/metaphysical-explanation/
1529,metaphysics,entries/metaphysics/
1530,"Suárez, Francisco",entries/suarez/
1531,methodological holism in the social sciences,entries/holism-social/
1532,philosophy in,entries/philosophy-mexico/
1533,"microbiology, philosophy of",entries/microbiology/
1534,"Mill, Harriet Taylor",entries/harriet-mill/
1535,"Mill, James",entries/james-mill/
1536,"Mill, John Stuart",entries/mill/
1537,moral and political philosophy,entries/mill-moral-political/
1538,computational theory of,entries/computational-mind/
1539,Chinese Philosophy: mind (heart-mind),entries/chinese-mind/
1540,in Indian Buddhist Philosophy,entries/mind-indian-buddhism/
1541,modularity of,entries/modularity-mind/
1542,mind/brain identity theory,entries/mind-identity/
1543,miracles,entries/miracles/
1544,modality: epistemology of,entries/modality-epistemology/
1545,"Descartes, René: modal metaphysics",entries/descartes-modal/
1546,epistemology of,entries/modality-epistemology/
1547,impossible worlds,entries/impossible-worlds/
1548,"Leibniz, Gottfried Wilhelm: modal metaphysics",entries/leibniz-modal/
1549,medieval theories of,entries/modality-medieval/
1550,fictionalism: modal,entries/fictionalism-modal/
1551,necessary and sufficient conditions,entries/necessary-sufficient/
1552,possible objects,entries/possible-objects/
1553,possible worlds,entries/possible-worlds/
1554,"Spinoza, Baruch: modal metaphysics",entries/spinoza-modal/
1555,varieties of,entries/modality-varieties/
1556,logic: modal,entries/logic-modal/
1557,"logic, history of: modal logic",entries/logic-modal-origins/
1558,"multi-modal logic, philosophical aspects of",entries/phil-multimodallogic/
1559,"modeling in the philosophy of science, agent-based",entries/agent-modeling-philscience/
1560,models in science,entries/models-science/
1561,model theory,entries/model-theory/
1562,first-order,entries/modeltheory-fo/
1563,modesty and humility,entries/modesty-humility/
1564,Chinese Philosophy: Mohism,entries/mohism/
1565,Chinese Philosophy: Mohist Canons,entries/mohist-canons/
1566,molecular biology,entries/molecular-biology/
1567,Molyneux’s problem,entries/molyneux-problem/
1568,"money and finance, philosophy of",entries/money-finance/
1569,monism,entries/monism/
1570,anomalous monism,entries/anomalous-monism/
1571,neutral monism,entries/neutral-monism/
1572,Russellian,entries/russellian-monism/
1573,monotheism,entries/monotheism/
1574,"Montaigne, Michel de",entries/montaigne/
1575,"Montesquieu, Charles-Louis de Secondat, Baron de",entries/montesquieu/
1576,"Moore, George Edward",entries/moore/
1577,moral philosophy,entries/moore-moral/
1578,moral/conventional distinction,entries/moral-conventional/
1579,moral anti-realism,entries/moral-anti-realism/
1580,"character, moral",entries/moral-character/
1581,"normative cognition, psychology of",entries/psychology-normative-cognition/
1582,"cognitivism vs. non-cognitivism, moral",entries/moral-cognitivism/
1583,moral decision-making under uncertainty,entries/moral-decision-uncertainty/
1584,moral demands and permissions/prerogatives,entries/moral-demands-permissions/
1585,moral dilemmas,entries/moral-dilemmas/
1586,moral disagreement,entries/disagreement-moral/
1587,moral epistemology,entries/moral-epistemology/
1588,a priorism in,entries/moral-epistemology-a-priori/
1589,moral particularism: and moral generalism,entries/moral-particularism-generalism/
1590,moral intuitionism,entries/intuitionism-ethics/
1591,and evolutionary biology,entries/morality-biology/
1592,"morality, definition of",entries/morality-definition/
1593,luck: moral,entries/moral-luck/
1594,moral motivation,entries/moral-motivation/
1595,naturalism: moral,entries/naturalism-moral/
1596,moral non-naturalism,entries/moral-non-naturalism/
1597,moral particularism,entries/moral-particularism/
1598,and moral generalism,entries/moral-particularism-generalism/
1599,phenomenology: moral,entries/moral-phenomenology/
1600,empirical approaches,entries/moral-psych-emp/
1601,moral realism,entries/moral-realism/
1602,reasoning: moral,entries/reasoning-moral/
1603,moral relativism,entries/moral-relativism/
1604,moral responsibility,entries/moral-responsibility/
1605,the epistemic condition,entries/moral-responsibility-epistemic/
1606,principle of alternative possibilities,entries/alternative-possibilities/
1607,moral sentimentalism,entries/moral-sentimentalism/
1608,moral skepticism,entries/skepticism-moral/
1609,"animals, moral status of",entries/moral-animal/
1610,"moral status, grounds of",entries/grounds-moral-status/
1611,moral theory,entries/moral-theory/
1612,"More, Henry",entries/henry-more/
1613,"More, Thomas",entries/thomas-more/
1614,moral motivation,entries/moral-motivation/
1615,Mulla Sadra,entries/mulla-sadra/
1616,"multi-modal logic, philosophical aspects of",entries/phil-multimodallogic/
1617,multiculturalism,entries/multiculturalism/
1618,multiple realizability,entries/multiple-realizability/
1619,"Murdoch, Iris",entries/murdoch/
1620,"history of western philosophy of, antiquity to 1800",entries/hist-westphilmusic-to-1800/
1621,"history of western philosophy of, since 1800",entries/hist-westphilmusic-since-1800/
1622,"music, philosophy of",entries/music/
1623,mysticism,entries/mysticism/
1624,Plato: myths,entries/plato-myths/
1625,[jump to top],#pagetopright
1626,Nāgārjuna,entries/nagarjuna/
1627,names,entries/names/
1628,nationalism,entries/nationalism/
1629,Japanese Philosophy: Kokugaku School,entries/kokugaku-school/
1630,"Natorp, Paul",entries/natorp/
1631,natural deduction systems in logic,entries/natural-deduction/
1632,naturalism,entries/naturalism/
1633,epistemology: naturalism in,entries/epistemology-naturalized/
1634,in legal philosophy,entries/lawphil-naturalism/
1635,"mathematics, philosophy of: naturalism",entries/naturalism-mathematics/
1636,moral,entries/naturalism-moral/
1637,natural kinds,entries/natural-kinds/
1638,"ontology, natural language",entries/natural-language-ontology/
1639,ethics: natural law tradition,entries/natural-law-ethics/
1640,in the Renaissance,entries/natphil-ren/
1641,natural selection,entries/natural-selection/
1642,units and levels of,entries/selection-units/
1643,nature of law,entries/lawphil-nature/
1644,interpretivist theories,entries/law-interpretivist/
1645,legal positivism,entries/legal-positivism/
1646,natural law theories,entries/natural-law-theories/
1647,pure theory of law,entries/lawphil-theory/
1648,"Early Modern India, analytic philosophy in",entries/early-modern-india/
1649,necessary and sufficient conditions,entries/necessary-sufficient/
1650,God: and other necessary beings,entries/god-necessary-being/
1651,"needs, in moral and political philosophy",entries/needs/
1652,negation,entries/negation/
1653,Négritude,entries/negritude/
1654,Neo-Daoism,entries/neo-daoism/
1655,neo-Kantianism,entries/neo-kantianism/
1656,neoliberalism,entries/neoliberalism/
1657,Neoplatonism,entries/neoplatonism/
1658,"Neurath, Otto",entries/neurath/
1659,neuroethics,entries/neuroethics/
1660,"neuroscience, philosophy of",entries/neuroscience/
1661,neutral monism,entries/neutral-monism/
1662,"Newton, Isaac",entries/newton/
1663,Philosophiae Naturalis Principia Mathematica,entries/newton-principia/
1664,philosophy,entries/newton-philosophy/
1665,"views on space, time, and motion",entries/newton-stm/
1666,"Nicholas of Autrecourt [de Altricuria, Autricuria, Ultricuria, Autricort]",entries/autrecourt/
1667,"Cusanus, Nicolaus",entries/cusanus/
1668,"Nietzsche, Friedrich",entries/nietzsche/
1669,life and works,entries/nietzsche-life-works/
1670,moral and political philosophy,entries/nietzsche-moral-political/
1671,Nishida Kitarō,entries/nishida-kitaro/
1672,"Husserl, Edmund",entries/husserl/
1673,in metaphysics,entries/nominalism-metaphysics/
1674,"mathematics, philosophy of: nominalism",entries/nominalism-mathematics/
1675,moral non-naturalism,entries/moral-non-naturalism/
1676,mental content: nonconceptual,entries/content-nonconceptual/
1677,nonexistent objects,entries/nonexistent-objects/
1678,nonidentity problem,entries/nonidentity-problem/
1679,logic: for analyzing power in normal form games,entries/logic-power-games/
1680,"normative cognition, psychology of",entries/psychology-normative-cognition/
1681,"logic, normative status of",entries/logic-normative/
1682,meaning: normativity of,entries/meaning-normativity/
1683,"metaethics, normativity in",entries/normativity-metaethics/
1684,social norms,entries/social-norms/
1685,"Norris, John",entries/john-norris/
1686,nothingness,entries/nothingness/
1687,Novalis [Georg Friedrich Philipp von Hardenberg],entries/novalis/
1688,political philosophy,entries/nozick-political/
1689,Numenius,entries/numenius/
1690,[jump to top],#pagetopright
1691,"Oakeshott, Michael",entries/oakeshott/
1692,object,entries/object/
1693,scientific objectivity,entries/scientific-objectivity/
1694,legal obligation and authority,entries/legal-obligation/
1695,"obligationes, medieval theories of",entries/obligationes/
1696,special,entries/special-obligations/
1697,obligations to oneself,entries/self-obligations/
1698,occasionalism,entries/occasionalism/
1699,"Ockham [Occam], William",entries/ockham/
1700,"Olivi, Peter John",entries/olivi/
1701,Olympiodorus,entries/olympiodorus/
1702,omnipotence,entries/omnipotence/
1703,omnipresence,entries/omnipresence/
1704,omniscience,entries/omniscience/
1705,ontological arguments,entries/ontological-arguments/
1706,ontological commitment,entries/ontological-commitment/
1707,"dependence, ontological",entries/dependence-ontological/
1708,social ontology,entries/social-ontology/
1709,"ontology, natural language",entries/natural-language-ontology/
1710,"ontology of art, history of",entries/art-ontology-history/
1711,operationalism,entries/operationalism/
1712,ordinary objects,entries/ordinary-objects/
1713,"Oresme, Nicole",entries/nicole-oresme/
1714,Origen,entries/origen/
1715,original position,entries/original-position/
1716,"Ortega y Gasset, José",entries/gasset/
1717,other minds,entries/other-minds/
1718,property and ownership,entries/property/
1719,[jump to top],#pagetopright
1720,pacifism,entries/pacifism/
1721,pain,entries/pain/
1722,"Paine, Thomas",entries/paine/
1723,panentheism,entries/panentheism/
1724,panpsychism,entries/panpsychism/
1725,pantheism,entries/pantheism/
1726,Curry’s paradox,entries/curry-paradox/
1727,Fitch’s paradox of knowability,entries/fitch-paradox/
1728,liar paradox,entries/liar-paradox/
1729,Russell’s paradox,entries/russell-paradox/
1730,Simpson’s paradox,entries/paradox-simpson/
1731,Skolem’s,entries/paradox-skolem/
1732,St. Petersburg paradox,entries/paradox-stpetersburg/
1733,"suspense, paradox of",entries/paradox-suspense/
1734,Zeno of Elea: Zeno’s paradoxes,entries/paradox-zeno/
1735,and contemporary logic,entries/paradoxes-contemporary-logic/
1736,epistemic paradoxes,entries/epistemic-paradoxes/
1737,parenthood and procreation,entries/parenthood/
1738,Parmenides,entries/parmenides/
1739,mereology,entries/mereology/
1740,"Pascal, Blaise",entries/pascal/
1741,Pascal’s wager,entries/pascal-wager/
1742,paternalism,entries/paternalism/
1743,patriotism,entries/patriotism/
1744,"Patrizi, Francesco",entries/patrizi/
1745,Paul of Venice,entries/paul-venice/
1746,"Peirce, Benjamin",entries/peirce-benjamin/
1747,"Peirce, Charles Sanders",entries/peirce/
1748,logic,entries/peirce-logic/
1749,theory of signs,entries/peirce-semiotics/
1750,"Penbygull, William",entries/penbygull/
1751,action-based theories of perception,entries/action-perception/
1752,auditory,entries/perception-auditory/
1753,the contents of,entries/perception-contents/
1754,the disjunctive theory of,entries/perception-disjunctive/
1755,epistemological problems of,entries/perception-episprob/
1756,experience and justification,entries/perception-justification/
1757,the problem of,entries/perception-problem/
1758,"learning, perceptual",entries/perceptual-learning/
1759,"Pereira, Gómez",entries/gomez-pereira/
1760,"perfectionism, in moral and political philosophy",entries/perfectionism-moral/
1761,temporal parts,entries/temporal-parts/
1762,personal identity,entries/identity-personal/
1763,and ethics,entries/identity-ethics/
1764,personalism,entries/personalism/
1765,personal relationship goods,entries/personal-relationship-goods/
1766,Indian Philosophy (Classical): personhood,entries/personhood-india/
1767,personal identity,entries/identity-personal/
1768,treating persons as means,entries/persons-means/
1769,Peter of Spain [= Petrus Hispanus],entries/peter-spain/
1770,"Petrizi, Joane",entries/joane-petrizi/
1771,intentionality: phenomenal,entries/phenomenal-intentionality/
1772,phenomenology,entries/phenomenology/
1773,moral,entries/moral-phenomenology/
1774,of the Munich and Göttingen Circles,entries/phenomenology-mg/
1775,Philip the Chancellor,entries/philip-chancellor/
1776,Philodemus,entries/philodemus/
1777,Philolaus,entries/philolaus/
1778,Philo of Alexandria,entries/philo/
1779,Philo of Larissa,entries/philo-larissa/
1780,Philoponus,entries/philoponus/
1781,in Latin America,entries/phil-bio-latin-america/
1782,in Latin America,entries/phil-science-latin-america/
1783,Dialectical School,entries/dialectical-school/
1784,phylogenetic inference,entries/phylogenetic-inference/
1785,physicalism,entries/physicalism/
1786,experiment in,entries/physics-experiment/
1787,holism and nonseparability,entries/physics-holism/
1788,intertheory relations in,entries/physics-interrelate/
1789,quantum theory: quantum field theory,entries/quantum-field-theory/
1790,structuralism in,entries/physics-structuralism/
1791,symmetry and symmetry breaking,entries/symmetry-breaking/
1792,"Sophists, The",entries/sophists/
1793,"Pico della Mirandola, Giovanni",entries/pico-della-mirandola/
1794,"Descartes, René: and the pineal gland",entries/pineal-gland/
1795,Plato,entries/plato/
1796,aesthetics,entries/plato-aesthetics/
1797,Callicles and Thrasymachus,entries/callicles-thrasymachus/
1798,Cratylus,entries/plato-cratylus/
1799,ethics,entries/plato-ethics/
1800,ethics and politics in The Republic,entries/plato-ethics-politics/
1801,friendship and eros,entries/plato-friendship/
1802,method and metaphysics in the Sophist and Statesman,entries/plato-sophstate/
1803,middle period metaphysics and epistemology,entries/plato-metaphysics/
1804,myths,entries/plato-myths/
1805,on knowledge in the Theaetetus,entries/plato-theaetetus/
1806,on utopia,entries/plato-utopia/
1807,Parmenides,entries/plato-parmenides/
1808,rhetoric and poetry,entries/plato-rhetoric/
1809,shorter ethical works,entries/plato-ethics-shorter/
1810,Timaeus,entries/plato-timaeus/
1811,in metaphysics,entries/platonism/
1812,"mathematics, philosophy of: Platonism",entries/platonism-mathematics/
1813,pleasure,entries/pleasure/
1814,Plotinus,entries/plotinus/
1815,religious diversity,entries/religious-pluralism/
1816,binarium famosissimum,entries/binarium/
1817,plural quantification,entries/plural-quant/
1818,Plutarch,entries/plutarch/
1819,"Poincaré, Henri",entries/poincare/
1820,"Polqar, Isaac",entries/polqar/
1821,political obligation,entries/political-obligation/
1822,ancient,entries/ancient-political/
1823,medieval,entries/medieval-political/
1824,in international relations,entries/realism-intl-relations/
1825,religion: and political theory,entries/religion-politics/
1826,"Polqar, Isaac",entries/polqar/
1827,"Pomponazzi, Pietro",entries/pomponazzi/
1828,"Popper, Karl",entries/popper/
1829,genetics: population,entries/population-genetics/
1830,and censorship,entries/pornography-censorship/
1831,Porphyry,entries/porphyry/
1832,"Porta, Giambattista della",entries/della-porta/
1833,Port Royal Logic,entries/port-royal-logic/
1834,possibilism-actualism debate,entries/possibilism-actualism/
1835,possible objects,entries/possible-objects/
1836,possible worlds,entries/possible-worlds/
1837,postmodernism,entries/postmodernism/
1838,"Poulain de la Barre, François",entries/francois-barre/
1839,innateness: and language,entries/innateness-language/
1840,practical reason,entries/practical-reason/
1841,medieval theories of,entries/practical-reason-med/
1842,and the structure of actions,entries/practical-reason-action/
1843,pragmatic arguments and belief in God,entries/pragmatic-belief-god/
1844,pragmatics,entries/pragmatics/
1845,defaults in semantics and pragmatics,entries/defaults-semantics-pragmatics/
1846,pragmatism,entries/pragmatism/
1847,petitionary,entries/petitionary-prayer/
1848,logic: classical,entries/logic-classical/
1849,prediction versus accommodation,entries/prediction-accommodation/
1850,prediction versus accommodation,entries/prediction-accommodation/
1851,preferences,entries/preferences/
1852,"pregnancy, birth, and medicine",entries/ethics-pregnancy/
1853,eugenics,entries/eugenics/
1854,presentism,entries/presentism/
1855,Presocratic Philosophy,entries/presocratics/
1856,presupposition,entries/presupposition/
1857,"Price, Henry Habberley",entries/price/
1858,"Price, Richard",entries/richard-price/
1859,"Prichard, Harold Arthur",entries/prichard/
1860,primary and secondary qualities in early modern philosophy,entries/qualities-prim-sec/
1861,Principia Mathematica,entries/principia-mathematica/
1862,notation in,entries/pm-notation/
1863,principle of sufficient reason,entries/sufficient-reason/
1864,"Prior, Arthur",entries/prior/
1865,prisoner’s dilemma,entries/prisoner-dilemma/
1866,privacy,entries/privacy/
1867,information technology: and privacy,entries/it-privacy/
1868,"ethics, biomedical: privacy and medicine",entries/privacy-medicine/
1869,private language,entries/private-language/
1870,"probabilities, imprecise",entries/imprecise-probabilities/
1871,"probabilities, imprecise",entries/imprecise-probabilities/
1872,"probability, in medieval and Renaissance philosophy",entries/probability-medieval-renaissance/
1873,"probability, interpretations of",entries/probability-interpret/
1874,logic: and probability,entries/logic-probability/
1875,rule of law and procedural fairness,entries/rule-of-law/
1876,process philosophy,entries/process-philosophy/
1877,process theism,entries/process-theism/
